HHF,G,Y,FADA,AA,HGD,AT,E,K,T,U,I,B,W,Q,SDE
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.032,1.43,0,0,0,0,0,0,0,0,0
0,0,0.91,0,0,1.32,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,4.548,0,0,0,0,0,0,0,1.96,0,1
0,0,0,0,0,1.745,0.27,0,0,0,0,0,0,0,0,0
0.302,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,1
0,0,0,0.314,0,2.473,0,0,0,0,0,0,0,0,0,0
0,0,2.56,0,2.05,1.983,0.51,1.53,0,0,0,0,0,0,0,0
0,0,0.89,0.149,0,1.115,0,0,0,0,0.89,0,0,0,0,0
0,0,0,0.055,0,3.766,0.76,0,0,0,0.1,0,0.05,0,0,0
0.027,0,0.74,0,0,4.634,0,0.24,0,0,0.49,0,0,0,0,0
0,0,0,0,0,1.842,0,0,0,0,0,0.75,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0.45,0,0.21,0,2.368,0,0.45,0,0,0.45,0,0.45,0,0,1
0.03,0,0,0.36,0,1.42,0,0.24,0,0,0.65,0.16,0,0,0,1
0,0,3.06,0,0,1.718,0,0,0,0,0,0,0,0,0,0
0,0,0,0.565,0,2.9,0,0,0,0,2.75,0.91,0,0,0,1
0,0,0,1.806,0,1.293,0,0,0,0,2.1,0,0,0,0,1
0.254,0,0,1.272,0,6.055,0,0,0,0,1.47,0,0,0,0,1
0,0,0,0,9.09,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.33,1.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0.667,0,1.131,0,1.16,0,0,1.75,0,0,0,0,1
0.196,0,0,0.392,0,5.466,0,0,0,0,0,0,0,0,0,1
0,0,1.4,0,0,4.533,0,0,0,0,0,0,0,0,0,0
0,0.9,0,0.537,0,2.782,0,0,0,0,2.72,0,0,0,0.9,1
0,0,0,0,0,1.142,0.31,0,0,0,0,0,0,0,0,0
0.223,0,0,0.382,0,7.538,0,0.4,0,0.2,0.61,0,0,0.61,0.61,1
0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
0.191,0,0,0.438,0,14.619,0,0,0,1.15,1.15,1.15,0.38,1.35,0.19,1
0.318,0,0,0.715,0,2.345,0,1.63,0,0,5.97,0,0,0.54,0.54,1
0.097,0.08,0,0.39,0,5.594,0,1.38,0,0,0.73,0.24,0.16,0.08,0.08,1
0.23,0.33,0,0.057,0,5.279,0,0.33,0,0,1,1.33,0,2,0,1
0,0,1.76,0,1.76,2.246,0,0.58,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,9.09,0,0,0,0,0,0,0,0
0,0,0,0,0,1.5,0,0,0,0,2.59,0,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0.353,0,0,0.088,0,2.571,0,2.23,0.55,0,2.23,0,0.55,0,0,1
0.057,0.17,0,1.158,0,5.163,0,0.53,0.35,1.61,4.12,0.17,0.17,0,1.79,1
0,0,0,0.074,0,7.288,0,0.44,0,0,0,0,0.44,0,0,0
1.284,0,0,5.803,0,5.944,0,0.49,0,0.09,1.08,0.09,0.49,0,0.09,1
0,2.29,0,0,0,3.85,0,1.52,0,0,2.29,0,0,0,0.76,1
0,0,0,0,2.73,2.035,0,0,0,0,2.73,0,5.47,0,0,0
0,0,2.15,0,0,1.718,0,0,0,0,0,0,0,0,0,0
0.013,0,4.5,0,0,2.361,0,0,0,0,0,0,0,0.1,0.2,0
0.114,0,0,0.802,0,2.527,0,0.67,0,0,0,0,0,0,0,1
0,0.51,0,0.067,0,2.676,0,0,0,0,1.03,0,0.51,0,0,1
0.054,0.33,0,1.118,0,4.928,0,0.33,0.33,1.68,3.87,0.16,0,0,1.68,1
0,0,1.07,0.185,1.07,2.24,0,1.07,0,0,0,0,0,0,0,0
0,0,0,0,0,3.23,1.47,0,0,0,0,0,0,0,0,1
0,2.01,0,0.305,0,2.162,0,0.67,0,0.67,2.01,0,0,0,0,1
0,0.55,0,0.301,0,19.482,0,0.27,0,0.27,0.83,0.27,0,0,1.11,1
0,0,1.74,0.059,0,2.554,0,0.87,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.693,0,1.335,0,0.36,0.12,0,0.96,0,0,0,0,1
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0.09,0,0,0.002,0,2.577,0.8,0.05,0.05,0,0.01,0.03,0.01,0,0.01,0
0,0,0,0,0,1,5.88,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0,2.35,0.125,1.17,1.955,0,0,0,0,0,0,0,0,0,0
0.233,0,0,0.233,0,3.414,0,1.07,0,0,2.5,0,0.35,1.42,0.71,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.125,0,1.287,0,0.36,0,0,1.45,0.36,0,0,0,1
0.161,0,0,0.644,0,2.522,0,0.42,0,0,0,0,0.42,0.42,0,1
1.305,0.94,0,0.163,0,2.571,0,0,0,0,0.94,0,0,0,0,1
0,0,1.83,0,0,1.455,0,0.52,0,0,0,0,0.26,0,0,0
0,0,2.56,0,2.56,2.142,0,0,0,0,0,0,0,0,0,0
0,0,1.58,0,0,1.92,0,0,0,0,0,0,0,0,0,0
0,0,0,0.671,0,129.5,0,1.55,0,0,0.77,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.112,0,2.933,0,0,0,0,0,0,0,0,0,0
0.265,0,0.29,0.113,0.29,2.285,0,0.29,0.29,0.29,2.64,3.23,0.58,0,0,0
0,0,0,0,0,2.362,2.69,0,0,0,0,0,0,0,0,0
0,0.7,0,0.38,0,1.153,0,4.25,0,0,1.41,0,0,0,0,1
0.147,1.47,0,0.294,0,72,0,0,1.47,1.47,2.94,1.47,0,0,2.94,1
0.142,0,0,0,0,1.857,0,0,0,0,1.02,0,0,0,0,0
0,0,3.63,0,0,2.227,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.848,0.78,0,0,0,0.78,0,0,0,0,0
0,0,0.34,0,0.17,2.926,0,0.17,0,0,1.03,0.34,0,0,0,0
0.181,0,0,0.604,0,3.787,0,0.36,0,0,1.46,0,0,0.36,0.73,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.264,0,1.13,0,0,0,0,0,0,0,0
0,0,1.36,0,0,2.461,0,0,0,0,0.68,0,0,0,0,0
0,0,1.86,0,0,1.983,0,0.56,0,0,0.65,0,0,0,0.37,0
0,0,8.08,0,0.73,2.666,0,0,0,0,0,0,0,0,0,0
0,0,0,0.523,0,2.571,0,0,0,0,0,0,0,0,0,0
0,2.73,0,1.244,0,2.472,0,0.68,0,0,2.73,0,0.68,0,0,1
