HHF,G,Y,FADA,AA,HGD,AT,E,K,T,U,I,B,W,Q,SDE
0,0,0,0,0.68,1.8,0,0,0,0,0,0,0,0,0,0
0,0,1.83,0.241,0,3.541,0,0,0,0,0.91,0,0,0,0.91,0
0,0,3.2,0,0,2.464,0,0.53,0.17,0,0,0,0,0,0.53,0
0,0,0,0.471,0,3.659,0,0,0,0,0.29,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0,0,0,0,1.388,0,1.81,0,0,0,0,0,0,0,0
0,0,1,0.487,2,2.291,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,2.275,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.77,1.666,0,0,0,0,0,0,0,0,0,0
0.061,0,0,0.37,0,2.878,0,0.12,0.12,0.12,1.27,0.25,0.89,0,0.12,1
0,0,0,0.06,0,7.464,0,0,0,0,0,0,0.35,0,0,0
0,0,0,0.077,0,1.545,0.45,0,0,0,0.9,0,0,0,0,0
0,0,0.34,0,0,2.35,0,0.34,0,0,0.34,0,0,0,0,0
0,1.47,0,0.5,0,1.214,0,0,0,0,1.47,0,0,0,0,1
0,0,0,0.729,0,1.875,0,0,0,0,0,0,0,0,0,0
0.061,0.68,0,0.366,0,1.895,0,1.03,0,0,1.37,0,0,0.34,0,1
0,0,0,0,0,1.5,0,6.25,0,0,0,0,0,0,0,0
0,0,0,0.278,0,1.777,0,0,0,0,1.69,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.54,0.091,0,1.212,0,0.54,0,0,0,0,0.54,0,0,0
0.085,0,0,0.096,0,3.353,0,0.4,0,0.13,1.21,0.67,0.06,0,0,1
0,0,0,0,2,2.95,0,0,0,0,0,0,0,0,0,0
0,0,0,0.389,0,1.26,0,0,0,0,0,0,0,0,0,0
0,0,1.19,0,3.57,4.791,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.116,0,0,1.16,0,1.8,0,0,0,0,0.64,0,0,0,0,1
0,0,0,2.378,0,3.315,0,0,0,0,1.38,0,0,0,0,0
0.161,0,1.01,0,0.5,1.712,0,0,0,0,0,0,0,0,0,0
0,0,0,1.234,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0.188,0,2.686,1.94,0.64,0,0,0,0,0,0,0,0
0,0,0,0,10,2.5,0,0,0,0,0,0,0,0,0,0
0.054,0,0,0.109,0,2.193,0,0,0,0,0.31,0,1.25,0,0,0
0.053,0.36,0,0.053,0,18.37,0,0,0,0,0,0,0,0,0,1
0,0.67,0,0.286,0,5.558,0,0,0,0,1.35,0,0,0,0.67,1
0,0,0.9,0,0,3.225,0,0,0,0,0,0,0,0,0,0
0.114,0,0,0.659,0,9.1,0,0.22,0,0,1.54,1.32,0.88,0,0,1
0,0,3.44,0,1.72,2.533,0,0,0,0,0,0,0,0,0,0
0.04,0,2.57,0,0,2.275,0,0,0,0,0,0,0,0,0.42,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.402,0.52,0,0.443,0,2.41,0,0.78,0,0,1.56,0,0,0.52,0,1
0.331,0,2.26,0,0,2.287,0,0,0,0,0,0,0,0,0.37,0
0,0.45,0,0.072,0,7.857,0,0.45,0,0,0,0,0,0,0,1
0,0,1.98,0,0,2.135,0,0,0,0,0,0,0,0,0,0
0,0,0,0.261,0,5.666,0,0.38,0,0,2.31,0,0,0,0,1
0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
